authors,isbn13,title
"['Margaret Holtschlag', 'Carol Trojanowski']",9780679866916,Random House Calendar For Kids 1996
['Barbara Delinsky'],9780739326510,Family Tree (random House Large Print)
['Peter J Lippman'],9780394834481,Busy Boats (a Random House Pictureback)
['Zadie Smith'],9781524723194,Swing Time (random House Large Print)
['Thomas Kane'],9780394356075,Random House Guide To Research Writing
['Sarah Addison Allen'],9780739327432,Garden Spells (random House Large Print)
['Associated Press Staff; Chet Currier'],9780812929089,"Random House Sunday Megaomnibus, Vol. 2"
['Lincoln Child'],9780739328262,Terminal Freeze (random House Large Print)
['Michael Ashley'],9780812932119,"Random House Crostics, Volume 4 (other)"
['Rick Bragg'],9780375431203,Ava's Man (random House Large Print )
['Random House'],9780517199312,Random House Unabridged Dictionary: 2 Edition
['Jane Feather'],9780375432729,Almost Innocent (random House Large Print)
['Martha Grimes'],9780679758792,Hotel Paradise (random House Large Print)
,9780375721335,Random House Webster's Pocket American Thesaurus
['Leonard Roy Frank'],9780679448501,Random House Webster&#39;s Quotationary
['Louis Phillips'],9780375705885,Random House Treasury Of Humorous Verse
['Peggy R Greene'],9780394838335,Things To Make (random House Picturebacks)
['Michael Ashley'],9780812930719,"Random House Crostics, Volume 3 (other)"
['Random House'],9780394585802,Random House American Sign Language Dictionary
['John Pollack'],9780375433580,Cork Boat (random House Large Print)
['Popples'],9780394980416,Popples Pajama Party (random House Pictureback)
['Random House'],9780073660714,Random House Webster's School & Office Thesaurus
"['Gorsline, Marie', 'Gorsline, Douglas W.']",9780394935508,Nursery Rhymes (a Random House Pictureback)
"['Will Shortz', 'Nick Baxter']",9780812936704,Random House World-class Puzzles (other)
['Dictionary'],9780394512006,The Random House Dictionary - Concise Edition
['Random House'],9780679719632,Random House Webster's Advanced English Dictionary
['Aurelius Battaglia'],9780394834597,Three Little Pigs (random House Pictureback)
['Michael Connelly'],9780375408625,Void Moon (random House Large Print)
